"","USAF","WBAN","STATIONNAME","CTRY","STATE","LAT","LON","ELEV1M"
"1",690020,93218,"JOLON HUNTER LIGGETT MIL RES","US","CA",36,-121.233,3170
"2",690070,93217,"FRITZSCHE AAF","US","CA",36.683,-121.767,430
"3",690080,99999,"CAMP ROBERTS","US","CA",35.75,-120.7,2200
"4",690140,93101,"EL TORO MCAS","US","CA",33.676,-117.731,1167
"5",690150,93121,"TWENTYNINE PALMS","US","CA",34.3,-116.167,6959
"6",690150,99999,"TWENTYNINE PALMS","US","CA",34.3,-116.167,6260
"7",690160,93114,"TUSTIN MCAF","US","CA",33.7,-117.833,165
"8",690170,99999,"IND SPRNG RANGE 63","US","NV",36.533,-115.567,9720
"9",690174,99999,"INDIAN SPRINGS RANGE","US","NV",36.533,-115.567,9720
"10",690190,13910,"ABILENE DYESS AFB","US","TX",32.421,-99.855,5453
"11",690190,99999,"ABILENE DYESS AFB","US","TX",32.433,-99.85,5450
"12",690200,99999,"GOVERNOR HYDE","US","NC",35.25,-76.167,20
"13",690230,24255,"WHIDBEY ISLAND NAS","US","WA",48.35,-122.65,143
"14",690240,99999,"PACIFIC BEACH","US","WA",47.217,-124.2,180
"15",690260,99999,"CHEBOYGAN","US","MI",45.65,-84.467,1760
"16",690290,99999,"PORT ARANSAS","US","TX",27.833,-97.067,20
"17",690300,99999,"PORT O`CONNOR (CGS)","US","TX",28.433,-96.433,30
"18",690310,3125,"YUMA PROVING GROUND","US","AZ",32.833,-114.4,988
"19",690320,99999,"BLAINE HARBOR MUNI","US","WA",48.983,-122.733,210
"20",690330,99999,"HOOD CANAL BRIDGE","US","OR",45.667,-121.533,1920
"21",690500,99999,"FORT CHAFFEE","US","AR",35.167,-94.2,1430
"22",691164,99999,"REDSTONE ARSENAL","US","AL",34.683,-86.683,2090
"23",691174,99999,"ABERDEEN PVNG GRND","US","MD",39.467,-76.167,180
"25",691334,99999,"HILL/WENDOVER R GWC","US","UT",41.05,-113.067,12990
"26",691684,99999,"VICTORVILLE (ANG)","US","CA",34.6,-117.383,8760
"27",692364,99999,"FALLON NAS","US","NV",39.417,-118.7,11990
"28",692414,99999,"YUMA PROVING GROUND","US","AZ",32.85,-114.4,980
"29",692494,99999,"SUPERIOR VALLEY G R","US","CA",35.333,-117.1,9610
"31",692584,99999,"CREECH AFB TMOS-P","US","NV",36.583,-115.667,9550
"32",692704,99999,"KING SALMON AFS","US","AK",58.683,-156.633,150
"33",692754,99999,"AFCWC TMQ-53","US","FL",30.417,-86.667,90
"34",692764,99999,"AFCWC TMQ-53","US","FL",30.417,-86.667,90
"35",692784,99999,"KING SALMO","US","AK",58.667,-156.65,140
"36",694300,99999,"EAGLE RANGE       &","US","UT",41.05,-113.067,12920
"39",697534,99999,"FORT IRWIN","US","CA",35.283,-116.617,3220
"40",699604,3145,"YUMA MCAS","US","AZ",32.65,-114.617,649
"41",700001,26492,"PORTAGE","US","AK",60.785,-148.839,314
"42",700001,99999,"PORTAGE","US","AK",60.783,-148.833,290
"43",700197,26558,"SELAWIK","US","AK",66.6,-159.986,76
"44",700197,99999,"SELAWIK","US","AK",66.6,-159.983,80
"52",700631,25715,"ATKA","US","AK",52.217,-174.2,171
"53",700631,99999,"ATKA","US","AK",52.217,-174.2,180
"54",700632,26645,"BUCKLAND","US","AK",65.983,-161.133,91
"55",700632,99999,"BUCKLAND","US","AK",65.983,-161.15,100
"58",700635,26465,"GALBRAITH LAKE","US","AK",68.48,-149.487,8123
"59",700635,99999,"GALBRAITH LAKE","US","AK",68.483,-149.483,8140
"62",700638,99999,"FALSE PASS","US","AK",54.85,-163.417,60
"63",700639,99999,"HAPPY VALLEY(SAWRS)","US","AK",69.15,-148.817,2860
"69",700867,99999,"FRANKLIN BLUFFS","US","AK",69.717,-148.683,1080
"70",700868,99999,"ATIGUN","US","AK",68.183,-149.417,10320
"71",700869,99999,"CHANDALAR SHELF","US","AK",68.067,-149.583,9820
"72",701040,26631,"CAPE LISBURNE LRRS AIRPORT","US","AK",68.883,-166.117,30
"73",701040,99999,"CAPE LISBURNE(AWOS)","US","AK",68.883,-166.133,30
"74",701043,26601,"POINT HOPE AIRPORT","US","AK",68.35,-166.8,40
"75",701043,99999,"POINT HOPE (AWOS)","US","AK",68.35,-166.8,40
"76",701045,26649,"RED DOG","US","AK",68.031,-162.903,2969
"77",701045,99999,"RED DOG","US","AK",68.083,-162.833,2970
"78",701046,99999,"CENTRAL","US","AK",65.483,-144.667,2520
"79",701160,26618,"WALES","US","AK",65.617,-168.05,27
"80",701170,26634,"TIN CITY LRRS AIRPORT","US","AK",65.63,-167.917,820
"81",701170,99999,"TIN CITY AFS (AWOS)","US","AK",65.567,-167.917,830
"82",701190,99999,"PORT CLARENCE","US","AK",65.25,-166.867,50
"83",701195,26625,"SHISHMAREF/NEW AIRPORT","US","AK",66.25,-166.05,21
"84",701195,99999,"SHISHMAREF (AWOS)","US","AK",66.267,-166.05,20
"85",701196,99999,"KINANA/BOB BAKER ME","US","AK",66.983,-160.433,510
"86",701210,26624,"POINT LAY (DEW)","US","AK",69.733,-163.005,76
"87",701210,26638,"POINT LAY (DEW)","US","AK",69.817,-162.917,60
"88",701210,99999,"POINT LAY (DEW)","US","AK",69.817,-162.917,60
"89",701213,26638,"POINT LAY LIZ 2","US","AK",69.733,-163.017,61
"90",701213,99999,"POINT LAY(DEW/AWOS)","US","AK",69.733,-163.017,60
"91",701330,26616,"KOTZEBUE RALPH WEIN MEMORIAL","US","AK",66.885,-162.597,49
"92",701331,99999,"DEERING","US","AK",66.067,-162.75,50
"93",701333,26643,"DEERING","US","AK",66.069,-162.764,46
"94",701333,99999,"DEERING","US","AK",66.083,-162.75,90
"95",701334,99999,"KOTZEBUE","US","AK",66.883,-162.6,30
"96",701335,26648,"NOATAK","US","AK",67.566,-162.975,268
"97",701335,99999,"NOATAK","US","AK",67.55,-162.967,280
"98",701337,99999,"WALES AIRPORT","US","AK",65.617,-168.1,70
"99",701338,99999,"CHEVAK AIRPORT","US","AK",61.533,-165.583,230
"100",701486,26642,"KIVALINA AIRPORT","US","AK",67.732,-164.548,30
"101",701486,99999,"NIVALINA","US","AK",67.733,-164.55,30
"102",701620,26508,"UMIAT ARPT","US","AK",69.367,-152.133,811
"103",701620,99999,"UMIAT","US","AK",69.367,-152.133,811
"104",701625,26542,"ANAKTUVUK PASS","US","AK",68.134,-151.743,6410
"105",701625,99999,"ANAKTUVUK PASS","US","AK",68.133,-151.733,6570
"106",701718,26551,"AMBLER AIRPORT","US","AK",67.1,-157.85,881
"107",701718,99999,"AMBLER","US","AK",67.1,-157.85,880
"108",701719,99999,"SHUNGNAK","US","AK",66.883,-157.15,610
"109",701730,26535,"INDIAN MOUNTAIN LRRS ARPT","US","AK",66,-153.7,3889
"110",701730,99999,"INDIAN MTN AFS AWOS","US","AK",66,-153.7,3720
"111",701740,26533,"BETTLES FIELD","US","AK",66.916,-151.509,1960
"112",701745,46401,"CHANDALAR LAKE","US","AK",67.504,-148.483,5852
"113",701745,99999,"CHANDALAR LAKE","US","AK",67.5,-148.483,5850
"114",701748,99999,"PROSPECT CREEK","US","AK",66.817,-150.65,3350
"115",701749,99999,"WISEMAN ARPT","US","AK",67.4,-150.117,3600
"116",701780,26529,"TANANA RALPH M CALHOUN MEM AP","US","AK",65.174,-152.107,671
"117",701790,99999,"FIVE MILE CAMP","US","AK",65.933,-149.833,1550
"118",701791,99999,"MANLEY HOT SPRINGS","US","AK",65,-150.65,850
"119",701793,26524,"MANLEY HOT SPRINGS","US","AK",64.998,-150.644,820
"120",701793,99999,"MANLEY HOT SPRINGS","US","AK",65,-150.65,820
"121",701795,99999,"FIVE MILE CAMP","US","AK",65.933,-149.833,1550
"122",701940,26413,"FORT YUKON","US","AK",66.571,-145.25,1384
"123",701940,99999,"FORT YUKON (AWOS)","US","AK",66.567,-145.267,1356
"124",701945,46405,"ARCTIC VILLAGE","US","AK",68.115,-145.579,6376
"125",701945,99999,"ARCTIC VILLAGE","US","AK",68.117,-145.567,6360
"126",701975,26422,"EAGLE AIRPORT","US","AK",64.777,-141.148,2737
"127",701975,99999,"EAGLE","US","AK",64.783,-141.167,2680
"128",701995,26628,"CAPE DARBY REMOT COM OUTLT","US","AK",64.55,-163.033,76
"129",701995,99999,"GOLOVIN","US","AK",64.55,-163.05,80
"130",702000,26617,"NOME MUNICIPAL ARPT","US","AK",64.513,-165.443,67
"131",702005,26647,"ST MARY'S AIRPORT","US","AK",62.067,-163.3,951
"132",702005,99999,"SAINT MARY`S (AWOS)","US","AK",62.067,-163.3,950
"133",702006,26502,"KALTAG AIRPORT","US","AK",64.327,-158.742,610
"134",702006,99999,"KALTAG","US","AK",64.316,-158.733,600
"135",702031,26620,"MOSES POINT","US","AK",64.7,-162.05,61
"136",702035,26704,"SAVOONGA","US","AK",63.686,-170.493,162
"137",702035,99999,"SAVOONGA","US","AK",63.683,-170.483,170
"138",702040,26703,"GAMBELL","US","AK",63.783,-171.733,79
"139",702040,99999,"GAMBELL (AWOS)","US","AK",63.767,-171.733,76
"140",702060,26632,"NORTHEAST CAPE","US","AK",63.317,-168.967,91
"141",702070,26627,"UNALAKLEET FIELD","US","AK",63.883,-160.8,61
"142",702070,99999,"UNALAKLEET (AWOS)","US","AK",63.883,-160.8,46
"143",702075,26644,"ANVIK AIRPORT","US","AK",62.65,-160.183,268
"144",702075,99999,"ANVIK","US","AK",62.65,-160.183,990
"145",702084,26650,"EMMONAK","US","AK",62.785,-164.491,43
"146",702084,99999,"EMMONAK","US","AK",62.783,-164.483,40
"147",702091,99999,"MOUNTAIN VILLAGE","US","AK",62.083,-163.717,500
"148",702120,26633,"CAPE ROMANZOF AFS","US","AK",61.783,-166.033,1231
"149",702120,26646,"CAPE ROMANZOFF AWOS","US","AK",61.783,-166.033,1460
"150",702120,99999,"CAPE ROMANZOFF AWOS","US","AK",61.783,-166.033,1231
"151",702180,99999,"NUNIVAK","US","AK",60,-166,NA
"152",702185,26622,"MEKORYUK","US","AK",60.371,-166.271,146
"153",702185,99999,"MEKORYUK","US","AK",60.367,-166.267,150
"154",702186,26651,"HOOPER BAY","US","AK",61.524,-166.147,55
"155",702186,99999,"HOOPER BAY","US","AK",61.517,-166.133,60
"156",702190,26615,"BETHEL AIRPORT","US","AK",60.786,-161.826,457
"157",702220,26501,"GALENA A.","US","AK",64.738,-156.777,460
"158",702220,99999,"GALENA A.","US","AK",64.733,-156.933,490
"159",702223,26602,"KOYUK","US","AK",64.936,-161.164,433
"160",702223,99999,"KOYUK","US","AK",64.933,-161.15,380
"161",702224,99999,"EAGLE AIRPORT","US","AK",64.783,-141.15,2680
"162",702225,99999,"HUSLIA","US","AK",65.7,-156.383,550
"163",702310,26510,"MCGRATH ARPT","US","AK",62.953,-155.603,1030
"164",702312,26519,"FAREWELL FAA AP","US","AK",62.517,-153.883,4581
"165",702312,26555,"FAREWELL LAKE","US","AK",62.543,-153.623,3206
"166",702312,99999,"FAREWELL LAKE","US","AK",62.5,-153.9,4581
"167",702315,26536,"TATALINA LRRS","US","AK",62.9,-155.983,2941
"168",702315,99999,"TATALINA LRRS","US","AK",62.883,-155.967,3010
"169",702320,26516,"ANIAK AIRPORT","US","AK",61.583,-159.55,259
"170",702320,99999,"ANIAK (AWOS)","US","AK",61.583,-159.533,259
"171",702325,99999,"WASILLA","US","AK",61.567,-149.533,1080
"172",702350,26534,"SPARREVOHN AFS","US","AK",61.1,-155.583,4840
"173",702350,99999,"SPARREVOHN AFS","US","AK",61.1,-155.567,4840
"174",702460,26512,"MINCHUMINA","US","AK",63.884,-152.316,2140
"175",702460,99999,"MINCHUMINA","US","AK",63.9,-152.267,2134
"176",702480,99999,"FAREWELL/INTERMEDIA","US","AK",62.517,-153.883,4580
"177",702483,99999,"FAREWELL LAKE","US","AK",62.533,-153.617,3231
"178",702490,26526,"PUNTILLA","US","AK",62.073,-153.732,5599
"179",702490,99999,"PUNTILLA","US","AK",62.1,-152.75,5600
"180",702495,26547,"HAYES RIVER","US","AK",61.983,-152.086,3051
"181",702495,99999,"HAYES RIVER","US","AK",61.983,-152.083,3050
"182",702510,26528,"TALKEETNA STATE ARPT","US","AK",62.322,-150.092,1085
"183",702550,26514,"SKWENTNA","US","AK",61.965,-151.191,451
"184",702550,99999,"SKWENTNA","US","AK",61.967,-151.183,457
"185",702590,26523,"KENAI MUNICIPAL AP","US","AK",60.58,-151.239,280
"186",702595,26559,"SOLDOTNA","US","AK",60.476,-151.034,344
"187",702595,99999,"SOLDOTNA","US","AK",60.467,-151.033,340
"188",702600,26435,"NENANA MUNICIPAL AP","US","AK",64.55,-149.072,1103
"189",702600,99999,"NENANA MUNI (AMOS)","US","AK",64.55,-149.083,1091
"190",702605,99999,"CLEAR","US","AK",64.3,-149.117,1680
"191",702606,96401,"CHULITNA","US","AK",62.83,-149.913,4115
"192",702606,99999,"CHULITNA","US","AK",62.883,-149.833,3810
"193",702607,25378,"HOONAH","US","AK",58.112,-135.452,0
"194",702607,99999,"HOONAH","US","AK",58.083,-135.4,60
"195",702610,26411,"FAIRBANKS INTL ARPT","US","AK",64.817,-147.855,1384
"196",702615,26498,"WAINWRIGHT AAF","US","AK",64.838,-147.614,1384
"197",702615,99999,"WAINWRIGHT AAF","US","AK",64.833,-147.617,1420
"198",702616,99999,"OLD MAN","US","AK",66.45,-150.583,3890
"199",702625,99999,"NIKOLAI","US","AK",63.017,-154.367,1260
"200",702626,99999,"PILOT POINT","US","AK",57.583,-157.583,170
"201",702627,26561,"RUBY","US","AK",64.727,-155.47,1990
"202",702627,99999,"RUBY","US","AK",64.733,-155.467,1990
"203",702628,99999,"MARSHALL","US","AK",61.867,-162.033,310
"204",702629,99999,"CAPE DECISION CG HEL","US","AK",56,-134.133,100
"205",702640,26414,"SUMMIT WSO AP","US","AK",63.333,-149.133,7343
"206",702645,46403,"MCKINLEY PARK","US","AK",63.733,-148.911,5243
"207",702645,99999,"MCKINLEY PARK","US","AK",63.733,-148.917,5240
"208",702646,99999,"MT MCKINLEY NATL PK","US","AK",63.65,-148.8,6250
"209",702647,26499,"HEALY RIVER AIRPORT","US","AK",63.866,-148.969,3944
"210",702647,99999,"HEALY RIVER AIRPORT","US","AK",63.883,-149.017,3960
"211",702648,46406,"CANTWELL","US","AK",63.391,-148.956,7590
"212",702648,99999,"CANTWELL","US","AK",63.4,-148.95,6680
"213",702650,26407,"FAIRBANKS/EIELSON A","US","AK",64.666,-147.101,1670
"214",702650,99999,"FAIRBANKS/EIELSON A","US","AK",64.65,-147.067,1670
"215",702660,99999,"FT GREELY/ALLEN AAF","US","AK",63.967,-145.7,3980
"216",702670,26415,"BIG DELTA ALLEN AAF","US","AK",63.995,-145.718,3883
"217",702673,99999,"BIG DELTA ARCTIC WX","US","AK",64,-145.717,3890
"218",702674,99999,"CIRCLE CITY AIRPORT","US","AK",65.833,-144.067,1820
"219",702675,26484,"PAXSON","US","AK",63.025,-145.501,8086
"220",702675,99999,"PAXSON","US","AK",63.033,-145.5,8090
"221",702680,99999,"GLENALLEN","US","AK",62.1,-145.967,5730
"223",702685,99999,"ATQASUK EDWARD BURN","US","AK",58.967,-159.05,160
"224",702686,99999,"KIPNUK","US","AK",59.933,-164.033,30
"225",702695,96402,"SUTTON","US","AK",61.731,-148.928,2652
"226",702695,99999,"SUTTON","US","AK",61.717,-148.883,2650
"227",702696,99999,"LAZY MTN/WOLVERINE","US","AK",61.633,-149.033,2360
"228",702697,99999,"NEW STUYAHOK","US","AK",59.45,-157.333,920
"229",702700,99999,"FT. RICHARDSON/BRYA","US","AK",61.267,-149.65,1150
"230",702710,26425,"GULKANA INTERMEDIATE FIELD","US","AK",62.16,-145.458,4813
"231",702711,99999,"SHEEP MTN","US","AK",61.817,-158.383,29590
"232",702715,46407,"EUREKA","US","AK",61.937,-147.169,10025
"233",702715,99999,"EUREKA","US","AK",61.933,-147.167,10020
"234",702716,99999,"TAHNETA PASS","US","AK",61.817,-147.55,9000
"235",702717,99999,"SELAWIK","US","AK",66.6,-159.983,80
"236",702719,99999,"TONSINA LODGE","US","AK",61.55,-145.217,5180
"237",702720,26401,"ANCHORAGE/ELMENDORF","US","AK",61.253,-149.794,649
"238",702720,99999,"ANCHORAGE/ELMENDORF","US","AK",61.25,-149.8,590
"239",702725,26491,"LAKE HOOD SEAPLANE","US","AK",61.179,-149.961,402
"240",702725,99999,"LAKE HOOD SEAPLANE","US","AK",61.183,-149.967,220
"241",702730,26451,"ANCHORAGE INTL AP","US","AK",61.175,-149.993,402
"242",702735,26409,"ANCHORAGE MERRILL FIELD","US","AK",61.217,-149.855,418
"243",702735,99999,"MERRILL FIELD","US","AK",61.217,-149.85,421
"244",702736,99999,"FT RICHARDSON/BRYN&","US","AK",61.267,-149.65,1150
"245",702740,25331,"PALMER MUNICIPAL","US","AK",61.596,-149.092,756
"246",702740,99999,"PALMER MUNICIPAL","US","AK",61.6,-149.083,710
"247",702745,26560,"WILLOW","US","AK",61.754,-150.052,674
"248",702745,99999,"WILLOW","US","AK",61.75,-150.05,690
"249",702746,26497,"BIRCHWOOD","US","AK",61.416,-149.507,293
"250",702746,99999,"BIRCHWOOD","US","AK",61.417,-149.5,300
"251",702750,26442,"VALDEZ WSO","US","AK",61.133,-146.35,113
"252",702754,99999,"VALDEZ","US","AK",61.133,-146.25,370
"253",702755,46404,"MCCARTHY","US","AK",61.437,-142.904,4666
"254",702755,99999,"MCCARTHY","US","AK",61.433,-142.933,4550
"255",702756,26479,"VALDEZ PIONEER FIEL","US","AK",61.134,-146.248,360
"256",702756,99999,"VALDEZ PIONEER FIEL","US","AK",61.133,-146.25,380
"257",702757,26444,"WHITTIER","US","AK",60.777,-148.722,91
"258",702757,99999,"WHITTIER","US","AK",60.767,-148.683,90
"261",702770,26438,"SEWARD AIRPORT","US","AK",60.128,-149.417,67
"262",702770,99999,"SEWARD","US","AK",60.117,-149.45,180
"263",702790,26417,"CAPE HINCHINBROOK","US","AK",60.233,-146.65,564
"264",702795,99999,"HINCHINBROOK","US","AK",60.4,-146.083,1100
"265",702910,26412,"NORTHWAY AIRPORT","US","AK",62.961,-141.946,5246
"266",702913,46402,"NABESNA/DEVIL MTN","US","AK",62.402,-142.995,8778
"267",702913,99999,"NABESNA/DEVIL MTN","US","AK",62.4,-143,8820
"268",702915,26486,"SLANA AIRPORT","US","AK",62.725,-143.921,7376
"269",702915,99999,"SLANA AIRPORT","US","AK",62.7,-143.983,7300
"270",702923,26440,"TANACROSS","US","AK",63.383,-143.333,4581
"271",702924,99999,"TOK","US","AK",63.317,-142.717,5090
"272",702960,26410,"CORDOVA","US","AK",60.489,-145.451,146
"273",702965,99999,"JOHNSTONE POINT","US","AK",60.483,-146.6,140
"274",702980,26445,"YAKATAGA AP","US","AK",61.572,-149.54,1079
"275",702986,26557,"BIG RIVER LAKE","US","AK",60.816,-152.302,119
"276",702986,99999,"BIG RIVER LAKE","US","AK",60.817,-152.3,120
"277",702987,99999,"NIGHTMUTE","US","AK",60.467,-164.7,40
"278",703050,25623,"CAPE NEWENHAM AFS","US","AK",58.646,-162.063,1649
"279",703050,99999,"CAPE NEWENHAM AFS","US","AK",58.65,-162.067,1610
"280",703051,26521,"HOLY CROSS","US","AK",62.188,-159.775,213
"281",703051,99999,"HOLY CROSS","US","AK",62.183,-159.783,210
"282",703052,26652,"KALSKAG","US","AK",61.536,-160.341,168
"283",703052,99999,"KALSKAG","US","AK",61.533,-160.333,170
"284",703053,26654,"RUSSIAN MISSION","US","AK",61.775,-161.319,155
"285",703053,99999,"RUSSIAN MISSION","US","AK",61.767,-161.317,150
"286",703054,99999,"SCAMMON BAY","US","AK",61.85,-165.567,40
"287",703055,99999,"MANOKOTAK","US","AK",58.983,-159.05,160
"288",703056,26635,"MOUNTAIN VILLAGE","US","AK",62.095,-163.682,1027
"289",703056,99999,"MOUNTAIN VILLAGE","US","AK",62.1,-163.683,150
"290",703057,26653,"TOOKSOK BAY","US","AK",60.541,-165.087,180
"291",703057,99999,"TOOKSOK BAY","US","AK",60.533,-165.083,210
"292",703058,99999,"NELSON LAGOON","US","AK",56.017,-161.167,40
"293",703059,99999,"KING COVE","US","AK",55.17,-162.333,470
"294",703061,25521,"IGIUGIG","US","AK",59.324,-155.902,274
"295",703061,99999,"IGIUGIG","US","AK",59.3,-155.9,270
"296",703080,25713,"ST PAUL ISLAND ARPT","US","AK",57.163,-170.22,85
"297",703160,25624,"COLD BAY ARPT","US","AK",55.207,-162.722,314
"298",703165,25617,"SAND POINT","US","AK",55.319,-160.526,64
"299",703165,99999,"SAND POINT","US","AK",55.317,-160.517,70
"300",703210,25513,"DILLINGHAM MUNI","US","AK",58.994,-158.552,290
"301",703210,99999,"DILLINGHAM MUNI","US","AK",59.05,-158.517,290
"302",703260,25503,"KING SALMON ARPT","US","AK",58.684,-156.654,149
"303",703263,99999,"KING SALMON","US","AK",58.683,-156.683,170
"304",703330,25508,"PORT HEIDEN","US","AK",56.959,-158.633,290
"305",703330,99999,"PORT HEIDEN","US","AK",56.95,-158.617,290
"306",703333,25518,"CHIGNIK","US","AK",56.311,-157.373,49
"307",703333,99999,"CHIGNIK","US","AK",56.2,-158.233,150
"308",703334,25519,"EGEGIK(AWOS)","US","AK",58.185,-157.386,280
"309",703334,99999,"EGEGIK(AWOS)","US","AK",58.417,-157.367,1190
"310",703335,99999,"SOUTH NAKNEK NR2","US","AK",58.7,-157.017,400
"311",703400,25506,"ILIAMNA ARPT","US","AK",59.753,-154.915,488
"312",703406,26546,"PORT ALSWORTH","US","AK",60.204,-154.319,853
"313",703406,99999,"PORT ALSWORTH","US","AK",60.2,-154.317,850
"314",703407,26553,"SLEETMUTE AIRPORT","US","AK",61.717,-157.15,543
"315",703407,99999,"SLEETMUTE","US","AK",61.717,-157.15,540
"316",703410,25507,"HOMER ARPT","US","AK",59.647,-151.477,223
"317",703430,25402,"MIDDLETON ISLAND AUT","US","AK",59.432,-146.338,140
"318",703430,25403,"MIDDLETON ISLAND AUT","US","AK",59.45,-146.317,369
"319",703430,99999,"MIDDLETON ISL. AMOS","US","AK",59.433,-146.333,369
"320",703431,25402,"MIDDLETON ISLAND AUT","US","AK",59.432,-146.338,140
"321",703500,25501,"KODIAK AIRPORT","US","AK",57.75,-152.492,338
"322",703570,99999,"SITKINAK(USCG)","US","AK",56.55,-154.133,170
"323",703600,99999,"CAPE SAINT ELIAS","US","AK",59.8,-144.6,180
"324",703604,99999,"HOMER","US","AK",59.645,-151.478,260
"325",703605,25604,"PLATINUM","US","AK",59.011,-161.82,46
"326",703605,99999,"PLATINUM","US","AK",59,-161.817,50
"327",703606,25629,"TOGIAK AIRPORT","US","AK",59.067,-160.367,61
"328",703606,99999,"TOGIAC VILLAGE AWOS","US","AK",59.05,-160.4,60
"329",703610,25339,"YAKUTAT STATE ARPT","US","AK",59.51,-139.628,94
"330",703620,25335,"SKAGWAY AIRPORT","US","AK",59.46,-135.313,134
"331",703621,25516,"SELDOVIA AIRPORT","US","AK",59.443,-151.702,88
"332",703621,99999,"SELDOVIA ARPT","US","AK",59.45,-151.7,950
"333",703625,99999,"HAINES BOAT HARBOR","US","AK",59.233,-135.433,100
"334",703626,25323,"HAINES","US","AK",59.245,-135.52,49
"335",703640,99999,"ELDRED ROCK","US","AK",58.967,-135.217,100
"338",703650,25316,"CAPE SPENCER","US","AK",58.2,-136.633,271
"339",703655,26552,"HUSLIA","US","AK",65.698,-156.351,649
"340",703655,99999,"HUSLIA","US","AK",65.7,-156.633,650
"341",703670,25322,"GUSTAVUS","US","AK",58.424,-137.707,91
"342",703670,99999,"GUSTAVUS","US","AK",58.417,-135.733,122
"343",703675,99999,"SISTERS ISLAND","US","AK",58.167,-135.25,110
"344",703710,25333,"SITKA JAPONSKI AP","US","AK",57.048,-135.36,204
"345",703715,99999,"BIORKA ISLAND SAWRS","US","AK",56.85,-135.533,150
"346",703724,99999,"WILLOW WEST","US","AK",61.75,-150.05,634
"347",703810,25309,"JUNEAU MUNICIPAL ARPT","US","AK",58.355,-134.575,73
"348",703815,99999,"PT. RETREAT (AMOS)","US","AK",58.4,-134.95,150
"349",703816,99999,"FUNTER BAY SEAPLANE","US","AK",58.25,-134.9,0
"350",703817,25357,"ELFIN COVE SEAPLANE","US","AK",58.195,-136.347,0
"351",703817,99999,"ELFIN COVE SEAPLANE","US","AK",58.2,-136.35,0
"352",703830,25310,"ANGOON","US","AK",57.504,-134.585,0
"353",703830,99999,"ANGOON","US","AK",57.504,-134.585,110
"354",703835,25628,"ST. GEORGE AIRPORT","US","AK",56.6,-169.565,381
"355",703835,99999,"ST GEORGE ISLAND","US","AK",56.35,-169.4,380
"356",703850,99999,"FIVE FINGER LIGHT","US","AK",57.267,-133.617,110
"357",703855,25369,"KAKE AIRPORT","US","AK",56.967,-133.9,524
"358",703855,99999,"KAKE SEAPLANE BASE","US","AK",56.967,-133.95,0
"359",703860,25329,"PETERSBURG","US","AK",56.802,-132.926,326
"360",703860,99999,"PETERSBURG","US","AK",56.817,-132.967,326
"361",703865,99999,"LEVEL ISLAND","US","AK",56.467,-133.1,90
"362",703870,25338,"WRANGELL","US","AK",56.484,-132.369,134
"363",703870,99999,"WRANGELL","US","AK",56.483,-132.367,130
"364",703880,25315,"CAPE DECISION","US","AK",56,-134.133,149
"365",703884,25376,"HYDABURG SEAPLANE","US","AK",55.206,-132.828,0
"366",703884,99999,"HYDABURG SEAPLANE","US","AK",55.2,-132.833,0
"367",703885,99999,"CAPE POLE SEAPLANE","US","AK",55.967,-133.8,10
"368",703886,25348,"PORT ALEXANDER SPB","US","AK",56.25,-134.65,0
"369",703886,99999,"PORT ALEXANDER","US","AK",56.25,-134.65,10
"370",703894,25367,"KLAWOCK","US","AK",55.58,-133.075,152
"371",703894,99999,"KLAWOCK","US","AK",55.583,-133.083,150
"372",703920,25317,"CRAIG","US","AK",55.483,-133.15,40
"374",703925,99999,"KOLIGANEK","US","AK",59.733,-157.267,820
"375",703926,99999,"AKHIOK","US","AK",56.933,-154.183,130
"376",703950,25325,"KETCHIKAN INTL AP","US","AK",55.357,-131.712,293
"377",703980,25308,"ANNETTE ISLAND AP","US","AK",55.043,-131.57,335
"378",703985,25377,"METLA KATLA","US","AK",55.131,-131.578,0
"379",703985,99999,"METLA KATLA","US","AK",55.133,-131.583,0
"382",704540,25704,"ADAK NAS","US","AK",51.883,-176.65,58
"383",704540,99999,"ADAK (NAS)","US","AK",51.883,-176.65,52
"385",704820,25626,"NIKOLSKI","US","AK",52.917,-168.783,2149
"386",704851,99999,"UMNAK (FORT GLEN)","US","AK",53.367,-167.9,390
"387",704890,25616,"DUTCH HARBOR","US","AK",53.895,-166.543,40
"388",704890,99999,"DUTCH HARBOR","US","AK",53.9,-166.55,40
"390",704895,99999,"CAPE SARICHEF ARPT","US","AK",54.6,-164.933,90
"391",704896,25625,"PORT MOLLER","US","AK",56,-160.517,3210
"393",711680,99999,"SIOUX FALLS CLIMATE","US","SD",43.733,-96.633,4820
"394",713407,99999,"SLEETMUTE","US","AK",61.717,-157.15,540
"395",720021,99999,"BOOTHVILLE(AWS)","US","LA",29.35,-89.433,10
"396",720046,99999,"NEWHALL(AWS)","US","CA",34.367,-118.567,4270
"397",720048,99999,"EUGENE ISLAND 330(A","US","LA",28.083,-92.7,10
"398",720110,99999,"LLANO MUNICIPAL AIR","US","TX",30.783,-98.65,3360
"399",720113,99999,"TROY AIRPORT","US","MI",42.55,-83.183,2220
"400",720120,63837,"HILTON HEAD(AWS)","US","SC",32.224,-80.698,58
"401",720120,99999,"HILTON HEAD(AWS)","US","SC",32.232,-80.7,0
"402",720137,4867,"MORRIS AIRPORT","US","IL",41.425,-88.417,1780
